"class_code";"Freq";"class_name";"color";"area_ha";"percentage"
3;231330;"woodland";"#39a751";476,377425241587;25,2324124097265
2;204624;"grassland";"#edff6b";421,381810671485;22,319444762581
1;200836;"cropland";"#ffbb5b";413,581189537974;21,9062671452895
7;164504;"wetland_grassland";"#b0f0cf";338,762771633347;17,9433396924292
0;76544;"dense_woodland";"#236832";157,626912366282;8,34906745986298
5;13037;"built_up";"#fc8163";26,8470690912315;1,42201599699824
6;11837;"bare_soil";"#ffe7d7";24,3759113931815;1,29112551633568
8;8301;"water";"#2550ff";17,0942333762608;0,905434899983311
4;5784;"mineral";"#7f8183";11,910980104601;0,630892116793576
