LULC_Class,class_name,AGB_median
0,dense_woodland,55.79621887207031
1,cropland,8.434696197509766
2,grassland,5.9990997314453125
3,woodland,22.235538482666016
4,mineral,25.30082130432129
5,built_up,14.469380378723145
6,bare_soil,11.344178676605225
7,wetland_grassland,7.063944339752197
8,water,19.66563320159912
