"scenario_id","wetland_grassland","horticulture","cropland","mineral_bare_soil","dense_woodland","open_woodland","grassland","urban","water"
"59",0.0846565067768097,0.0405310578644276,0.229004338383675,0.127282217144966,0.0705504417419434,0.264178961515427,0.15619458258152,0.0237126667052507,0.00388925662264228
"60",0.191983580589294,0.0334078744053841,0.136927857995033,0.0686069801449776,0.0661848485469818,0.281830936670303,0.156980857253075,0.0511250421404839,0.0129520650953054
"61",0.0414340458810329,0.0208108890801668,0.232319891452789,0.0225617382675409,0.167593762278557,0.325718551874161,0.164431288838387,0.0146087361499667,0.0105211222544312
"62",0.147342681884766,0.031524870544672,0.177935495972633,0.0159219522029161,0.0882949903607368,0.331387102603912,0.18689338862896,0.00672509334981441,0.013974423520267
"63",0.161498457193375,0.0321003198623657,0.198339536786079,0.0137355905026197,0.0967571809887886,0.246438980102539,0.224489063024521,0.0127464802935719,0.0138944098725915
"64",0.177573010325432,0.0247872676700354,0.201653853058815,0.00390620389953256,0.0260863900184631,0.261091262102127,0.298249691724777,0.00605652527883649,0.000595844991039485
"75",0.0234687943011522,0.0499809496104717,0.259729444980621,0.0130864307284355,0.146237730979919,0.184008687734604,0.305278390645981,0.016926608979702,0.00128303410019726
"76",0.059809360653162,0.028498362749815,0.158787742257118,0.0526739805936813,0.12578496336937,0.45865398645401,0.0912234708666801,0.0133554814383388,0.011212719604373
"77",0.0382363758981228,0.0290867630392313,0.213941782712936,0.110239297151566,0.163240566849709,0.297927796840668,0.131170988082886,0.010407455265522,0.00574902864173055
"78",0.122087985277176,0.0407442152500153,0.215627238154411,0.0237528495490551,0.0617310553789139,0.356803596019745,0.158166617155075,0.0210864841938019,0
"79",0.152515456080437,0.0440078191459179,0.317280858755112,0.00403248984366655,0.0657067000865936,0.130507826805115,0.261622548103333,0.0242902245372534,3.61118181899656e-05
"80",0.0719224512577057,0.0650239586830139,0.299818694591522,0.0148143116384745,0.0944429636001587,0.161308526992798,0.261762380599976,0.0190582349896431,0.011848546564579
"81",0.0734631344676018,0.0256167352199554,0.30018076300621,0.012046373449266,0.0717882513999939,0.215145274996758,0.273954629898071,0.0102182412520051,0.0175866391509771
"82",0.0825590267777443,0.0147837996482849,0.116622157394886,0.0279858354479074,0.0557540766894817,0.499052882194519,0.188695564866066,0.00224028830416501,0.0123063968494534
"92",0.00654444890096784,0.0205791853368282,0.189940601587296,0.0264603700488806,0.379074990749359,0.219813704490662,0.145394966006279,0.00786720402538776,0.00432457961142063
"93",0.00723038660362363,0.0247029513120651,0.236993700265884,0.00317004323005676,0.268507450819016,0.264836221933365,0.18726934492588,0.00680243037641048,0.000487509532831609
"94",0.038786057382822,0.0770434588193893,0.306937694549561,0.0239411257207394,0.115040250122547,0.249454110860825,0.169097825884819,0.0139407152310014,0.00575877027586102
"95",0.0405394844710827,0.017861058935523,0.141295790672302,0.0177699979394674,0.357939034700394,0.300505310297012,0.113695107400417,0.00918353535234928,0.00121072784531862
